time, voltage
0.000000, 403.200000
0.002000, 402.806500
0.004000, 402.413384
0.008000, 401.627919
0.016000, 400.061583
0.032000, 396.947203
0.064000, 390.790895
0.128000, 378.762512
0.256000, 355.799597
0.512000, 313.927351
0.912000, 258.050993
1.312000, 212.120144
1.712000, 174.364589
2.112000, 143.329198
2.512000, 117.817838
2.912000, 96.847280
3.312000, 79.609300
3.712000, 65.439532
4.112000, 53.791860
4.512000, 44.217373
4.912000, 36.347063
5.312000, 29.877599
5.712000, 24.559644
6.112000, 20.188240
6.512000, 16.594907
6.912000, 13.641157
7.312000, 11.213149
7.712000, 9.217305
8.112000, 7.576704
8.512000, 6.228116
8.912000, 5.119565
9.312000, 4.208327
9.712000, 3.459281
10.112000, 2.843559
10.512000, 2.337430
10.912000, 1.921388
11.312000, 1.579397
11.712000, 1.298278
12.112000, 1.067196
12.512000, 0.877244
12.912000, 0.721102
13.312000, 0.592752
13.712000, 0.487248
14.112000, 0.400522
14.512000, 0.329232
14.912000, 0.270632
15.312000, 0.222462
15.712000, 0.182865
16.112000, 0.150317
16.512000, 0.123562
16.912000, 0.101569
17.312000, 0.083490
17.712000, 0.068630
18.112000, 0.056414
18.512000, 0.046373
18.912000, 0.038119
19.312000, 0.031334
19.712000, 0.025757
20.000000, 0.022372






























































